,x,y,time,temp_avg
0,51.68387771923425,55.58820006989121,2009-01-01,-14.0
1,51.68387771923425,55.58820006989121,2009-01-02,-12.2
2,51.68387771923425,55.58820006989121,2009-01-03,-15.1
3,51.68387771923425,55.58820006989121,2009-01-04,-18.3
4,51.68387771923425,55.58820006989121,2009-01-05,-13.7
5,51.68387771923425,55.58820006989121,2009-01-06,-12.6
6,51.68387771923425,55.58820006989121,2009-01-07,-22.3
7,51.68387771923425,55.58820006989121,2009-01-08,-22.2
8,51.68387771923425,55.58820006989121,2009-01-09,-17.4
9,51.68387771923425,55.58820006989121,2009-01-10,-14.7
10,51.68387771923425,55.58820006989121,2009-01-11,-11.4
11,51.68387771923425,55.58820006989121,2009-01-12,-22.0
12,51.68387771923425,55.58820006989121,2009-01-13,-30.3
13,51.68387771923425,55.58820006989121,2009-01-14,-13.8
14,51.68387771923425,55.58820006989121,2009-01-15,-10.1
15,51.68387771923425,55.58820006989121,2009-01-16,-7.9
16,51.68387771923425,55.58820006989121,2009-01-17,-3.1
17,51.68387771923425,55.58820006989121,2009-01-18,-8.0
18,51.68387771923425,55.58820006989121,2009-01-19,-8.0
19,51.68387771923425,55.58820006989121,2009-01-20,-7.5
20,51.68387771923425,55.58820006989121,2009-01-21,-9.5
21,51.68387771923425,55.58820006989121,2009-01-22,-11.5
22,51.68387771923425,55.58820006989121,2009-01-23,-18.4
23,51.68387771923425,55.58820006989121,2009-01-24,-14.0
24,51.68387771923425,55.58820006989121,2009-01-25,-10.7
25,51.68387771923425,55.58820006989121,2009-01-26,-12.7
26,51.68387771923425,55.58820006989121,2009-01-27,-13.5
27,51.68387771923425,55.58820006989121,2009-01-28,-14.2
28,51.68387771923425,55.58820006989121,2009-01-29,-16.1
29,51.68387771923425,55.58820006989121,2009-01-30,-12.8
30,51.68387771923425,55.58820006989121,2009-01-31,-11.2
31,51.68387771923425,55.58820006989121,2009-02-01,-6.4
32,51.68387771923425,55.58820006989121,2009-02-02,-7.9
33,51.68387771923425,55.58820006989121,2009-02-03,-13.2
34,51.68387771923425,55.58820006989121,2009-02-04,-13.6
35,51.68387771923425,55.58820006989121,2009-02-05,-9.3
36,51.68387771923425,55.58820006989121,2009-02-06,-0.7
37,51.68387771923425,55.58820006989121,2009-02-07,-4.3
38,51.68387771923425,55.58820006989121,2009-02-08,-14.6
39,51.68387771923425,55.58820006989121,2009-02-09,-15.6
40,51.68387771923425,55.58820006989121,2009-02-10,-19.1
41,51.68387771923425,55.58820006989121,2009-02-11,-15.4
42,51.68387771923425,55.58820006989121,2009-02-12,-11.8
43,51.68387771923425,55.58820006989121,2009-02-13,-9.8
44,51.68387771923425,55.58820006989121,2009-02-14,-6.9
45,51.68387771923425,55.58820006989121,2009-02-15,-9.8
46,51.68387771923425,55.58820006989121,2009-02-16,-9.1
47,51.68387771923425,55.58820006989121,2009-02-17,-9.7
48,51.68387771923425,55.58820006989121,2009-02-18,-9.3
49,51.68387771923425,55.58820006989121,2009-02-19,-7.7
50,51.68387771923425,55.58820006989121,2009-02-20,-9.6
51,51.68387771923425,55.58820006989121,2009-02-21,-14.9
52,51.68387771923425,55.58820006989121,2009-02-22,-15.6
53,51.68387771923425,55.58820006989121,2009-02-23,-13.1
54,51.68387771923425,55.58820006989121,2009-02-24,-16.3
55,51.68387771923425,55.58820006989121,2009-02-25,-16.9
56,51.68387771923425,55.58820006989121,2009-02-26,-16.3
57,51.68387771923425,55.58820006989121,2009-02-27,-12.1
58,51.68387771923425,55.58820006989121,2009-02-28,-5.7
59,51.68387771923425,55.58820006989121,2009-03-01,-6.0
60,51.68387771923425,55.58820006989121,2009-03-02,-5.3
61,51.68387771923425,55.58820006989121,2009-03-03,-3.7
62,51.68387771923425,55.58820006989121,2009-03-04,-3.3
63,51.68387771923425,55.58820006989121,2009-03-05,-5.9
64,51.68387771923425,55.58820006989121,2009-03-06,-4.5
65,51.68387771923425,55.58820006989121,2009-03-07,-6.4
66,51.68387771923425,55.58820006989121,2009-03-08,-9.2
67,51.68387771923425,55.58820006989121,2009-03-09,-9.7
68,51.68387771923425,55.58820006989121,2009-03-10,-1.1
69,51.68387771923425,55.58820006989121,2009-03-11,0.8
70,51.68387771923425,55.58820006989121,2009-03-12,0.4
71,51.68387771923425,55.58820006989121,2009-03-13,0.6
72,51.68387771923425,55.58820006989121,2009-03-14,-1.2
73,51.68387771923425,55.58820006989121,2009-03-15,-6.0
74,51.68387771923425,55.58820006989121,2009-03-16,-6.4
75,51.68387771923425,55.58820006989121,2009-03-17,-7.3
76,51.68387771923425,55.58820006989121,2009-03-18,-7.7
77,51.68387771923425,55.58820006989121,2009-03-19,-7.9
78,51.68387771923425,55.58820006989121,2009-03-20,-7.9
79,51.68387771923425,55.58820006989121,2009-03-21,-6.0
80,51.68387771923425,55.58820006989121,2009-03-22,-2.1
81,51.68387771923425,55.58820006989121,2009-03-23,0.9
82,51.68387771923425,55.58820006989121,2009-03-24,-1.9
83,51.68387771923425,55.58820006989121,2009-03-25,3.4
84,51.68387771923425,55.58820006989121,2009-03-26,1.4
85,51.68387771923425,55.58820006989121,2009-03-27,3.6
86,51.68387771923425,55.58820006989121,2009-03-28,5.3
87,51.68387771923425,55.58820006989121,2009-03-29,8.1
88,51.68387771923425,55.58820006989121,2009-03-30,7.1
89,51.68387771923425,55.58820006989121,2009-03-31,8.2
90,51.68387771923425,55.58820006989121,2009-04-01,8.7
91,51.68387771923425,55.58820006989121,2009-04-02,11.2
92,51.68387771923425,55.58820006989121,2009-04-03,5.1
